mask,num_edges,chromatic_number
0,0,1
1,1,2
2,1,2
3,2,2
4,1,2
5,2,2
6,2,2
7,3,2
8,1,2
9,2,2
10,2,2
11,3,2
12,2,2
13,3,2
14,3,2
15,4,2
16,1,2
17,2,2
18,2,2
19,3,2
20,2,2
21,3,2
22,3,2
23,4,2
24,2,2
25,3,2
26,3,2
27,4,2
28,3,2
29,4,2
30,4,2
31,5,2
32,1,2
33,2,2
34,2,2
35,3,2
36,2,2
37,3,2
38,3,2
39,4,2
40,2,2
41,3,2
42,3,2
43,4,2
44,3,2
45,4,2
46,4,2
47,5,2
48,2,2
49,3,2
50,3,2
51,4,2
52,3,2
53,4,2
54,4,2
55,5,2
56,3,2
57,4,2
58,4,2
59,5,2
60,4,2
61,5,2
62,5,2
63,6,2
64,1,2
65,2,2
66,2,2
67,3,2
68,2,2
69,3,2
70,3,2
71,4,2
72,2,2
73,3,2
74,3,2
75,4,2
76,3,2
77,4,2
78,4,2
79,5,2
80,2,2
81,3,2
82,3,2
83,4,2
84,3,2
85,4,2
86,4,2
87,5,2
88,3,2
89,4,2
90,4,2
91,5,2
92,4,2
93,5,2
94,5,2
95,6,2
96,2,2
97,3,2
98,3,2
99,4,2
100,3,2
101,4,2
102,4,2
103,5,2
104,3,2
105,4,2
106,4,2
107,5,2
108,4,2
109,5,2
110,5,2
111,6,2
112,3,2
113,4,2
114,4,2
115,5,2
116,4,2
117,5,2
118,5,2
119,6,2
120,4,2
121,5,2
122,5,2
123,6,2
124,5,2
125,6,2
126,6,2
127,7,2
128,1,2
129,2,2
130,2,2
131,3,2
132,2,2
133,3,2
134,3,2
135,4,2
136,2,2
137,3,2
138,3,2
139,4,2
140,3,2
141,4,2
142,4,2
143,5,2
144,2,2
145,3,2
146,3,2
147,4,2
148,3,2
149,4,2
150,4,2
151,5,2
152,3,2
153,4,2
154,4,2
155,5,2
156,4,2
157,5,2
158,5,2
159,6,2
160,2,2
161,3,2
162,3,2
163,4,2
164,3,2
165,4,2
166,4,2
167,5,2
168,3,2
169,4,2
170,4,2
171,5,2
172,4,2
173,5,2
174,5,2
175,6,2
176,3,2
177,4,2
178,4,2
179,5,2
180,4,2
181,5,2
182,5,2
183,6,2
184,4,2
185,5,2
186,5,2
187,6,2
188,5,2
189,6,2
190,6,2
191,7,2
192,2,2
193,3,2
194,3,2
195,4,2
196,3,2
197,4,2
198,4,2
199,5,2
200,3,2
201,4,2
202,4,2
203,5,2
204,4,2
205,5,2
206,5,2
207,6,2
208,3,2
209,4,2
210,4,2
211,5,2
212,4,2
213,5,2
214,5,2
215,6,2
216,4,2
217,5,2
218,5,2
219,6,2
220,5,2
221,6,2
222,6,2
223,7,2
224,3,2
225,4,2
226,4,2
227,5,2
228,4,2
229,5,2
230,5,2
231,6,2
232,4,2
233,5,2
234,5,2
235,6,2
236,5,2
237,6,2
238,6,2
239,7,2
240,4,2
241,5,2
242,5,2
243,6,2
244,5,2
245,6,2
246,6,2
247,7,2
248,5,2
249,6,2
250,6,2
251,7,2
252,6,2
253,7,2
254,7,2
255,8,2
256,1,2
257,2,2
258,2,2
259,3,2
260,2,2
261,3,2
262,3,2
263,4,2
264,2,2
265,3,2
266,3,2
267,4,2
268,3,2
269,4,2
270,4,2
271,5,2
272,2,2
273,3,2
274,3,2
275,4,2
276,3,2
277,4,2
278,4,2
279,5,2
280,3,2
281,4,2
282,4,2
283,5,2
284,4,2
285,5,2
286,5,2
287,6,2
288,2,2
289,3,3
290,3,2
291,4,2
292,3,2
293,4,2
294,4,2
295,5,2
296,3,2
297,4,2
298,4,2
299,5,2
300,4,2
301,5,2
302,5,2
303,6,2
304,3,2
305,4,2
306,4,2
307,5,2
308,4,2
309,5,2
310,5,2
311,6,2
312,4,2
313,5,2
314,5,2
315,6,2
316,5,2
317,6,2
318,6,2
319,7,2
320,2,2
321,3,2
322,3,2
323,4,2
324,3,2
325,4,2
326,4,2
327,5,2
328,3,2
329,4,2
330,4,2
331,5,2
332,4,2
333,5,2
334,5,2
335,6,2
336,3,2
337,4,2
338,4,2
339,5,2
340,4,2
341,5,2
342,5,2
343,6,2
344,4,2
345,5,2
346,5,2
347,6,2
348,5,2
349,6,2
350,6,2
351,7,2
352,3,2
353,4,2
354,4,2
355,5,2
356,4,2
357,5,2
358,5,2
359,6,2
360,4,2
361,5,2
362,5,2
363,6,2
364,5,2
365,6,2
366,6,2
367,7,2
368,4,2
369,5,2
370,5,2
371,6,2
372,5,2
373,6,2
374,6,2
375,7,2
376,5,2
377,6,2
378,6,2
379,7,2
380,6,2
381,7,2
382,7,2
383,8,2
384,2,2
385,3,2
386,3,2
387,4,2
388,3,2
389,4,2
390,4,2
391,5,2
392,3,2
393,4,2
394,4,2
395,5,2
396,4,2
397,5,2
398,5,2
399,6,2
400,3,2
401,4,2
402,4,2
403,5,2
404,4,2
405,5,2
406,5,2
407,6,2
408,4,2
409,5,2
410,5,2
411,6,2
412,5,2
413,6,2
414,6,2
415,7,2
416,3,2
417,4,2
418,4,2
419,5,2
420,4,2
421,5,2
422,5,2
423,6,2
424,4,2
425,5,2
426,5,2
427,6,2
428,5,2
429,6,2
430,6,2
431,7,2
432,4,2
433,5,2
434,5,2
435,6,2
436,5,2
437,6,2
438,6,2
439,7,2
440,5,2
441,6,2
442,6,2
443,7,2
444,6,2
445,7,2
446,7,2
447,8,2
448,3,2
449,4,2
450,4,2
451,5,2
452,4,2
453,5,2
454,5,2
455,6,2
456,4,2
457,5,2
458,5,2
459,6,2
460,5,2
461,6,2
462,6,2
463,7,2
464,4,2
465,5,2
466,5,2
467,6,2
468,5,2
469,6,2
470,6,2
471,7,2
472,5,2
473,6,2
474,6,2
475,7,2
476,6,2
477,7,2
478,7,2
479,8,2
480,4,2
481,5,2
482,5,2
483,6,2
484,5,2
485,6,2
486,6,2
487,7,2
488,5,2
489,6,2
490,6,2
491,7,2
492,6,2
493,7,2
494,7,2
495,8,2
496,5,2
497,6,2
498,6,2
499,7,2
500,6,2
501,7,2
502,7,2
503,8,2
504,6,2
505,7,2
506,7,2
507,8,2
508,7,2
509,8,2
510,8,2
511,9,2
512,1,2
513,2,2
514,2,2
515,3,2
516,2,2
517,3,2
518,3,2
519,4,2
520,2,2
521,3,2
522,3,2
523,4,2
524,3,2
525,4,2
526,4,2
527,5,2
528,2,2
529,3,2
530,3,3
531,4,2
532,3,2
533,4,2
534,4,2
535,5,2
536,3,2
537,4,2
538,4,2
539,5,2
540,4,2
541,5,2
542,5,2
543,6,2
544,2,2
545,3,2
546,3,2
547,4,2
548,3,2
549,4,2
550,4,2
551,5,2
552,3,2
553,4,2
554,4,2
555,5,2
556,4,2
557,5,2
558,5,2
559,6,2
560,3,2
561,4,2
562,4,2
563,5,2
564,4,2
565,5,2
566,5,2
567,6,2
568,4,2
569,5,2
570,5,2
571,6,2
572,5,2
573,6,2
574,6,2
575,7,2
576,2,2
577,3,2
578,3,2
579,4,2
580,3,2
581,4,2
582,4,2
583,5,2
584,3,2
585,4,2
586,4,2
587,5,2
588,4,2
589,5,2
590,5,2
591,6,2
592,3,2
593,4,2
594,4,2
595,5,2
596,4,2
597,5,2
598,5,2
599,6,2
600,4,2
601,5,2
602,5,2
603,6,2
604,5,2
605,6,2
606,6,2
607,7,2
608,3,2
609,4,2
610,4,2
611,5,2
612,4,2
613,5,2
614,5,2
615,6,2
616,4,2
617,5,2
618,5,2
619,6,2
620,5,2
621,6,2
622,6,2
623,7,2
624,4,2
625,5,2
626,5,2
627,6,2
628,5,2
629,6,2
630,6,2
631,7,2
632,5,2
633,6,2
634,6,2
635,7,2
636,6,2
637,7,2
638,7,2
639,8,2
640,2,2
641,3,2
642,3,2
643,4,2
644,3,2
645,4,2
646,4,2
647,5,2
648,3,2
649,4,2
650,4,2
651,5,2
652,4,2
653,5,2
654,5,2
655,6,2
656,3,2
657,4,2
658,4,2
659,5,2
660,4,2
661,5,2
662,5,2
663,6,2
664,4,2
665,5,2
666,5,2
667,6,2
668,5,2
669,6,2
670,6,2
671,7,2
672,3,2
673,4,2
674,4,2
675,5,2
676,4,2
677,5,2
678,5,2
679,6,2
680,4,2
681,5,2
682,5,2
683,6,2
684,5,2
685,6,2
686,6,2
687,7,2
688,4,2
689,5,2
690,5,2
691,6,2
692,5,2
693,6,2
694,6,2
695,7,2
696,5,2
697,6,2
698,6,2
699,7,2
700,6,2
701,7,2
702,7,2
703,8,2
704,3,2
705,4,2
706,4,2
707,5,2
708,4,2
709,5,2
710,5,2
711,6,2
712,4,2
713,5,2
714,5,2
715,6,2
716,5,2
717,6,2
718,6,2
719,7,2
720,4,2
721,5,2
722,5,2
723,6,2
724,5,2
725,6,2
726,6,2
727,7,2
728,5,2
729,6,2
730,6,2
731,7,2
732,6,2
733,7,2
734,7,2
735,8,2
736,4,2
737,5,2
738,5,2
739,6,2
740,5,2
741,6,2
742,6,2
743,7,2
744,5,2
745,6,2
746,6,2
747,7,2
748,6,2
749,7,2
750,7,2
751,8,2
752,5,2
753,6,2
754,6,2
755,7,2
756,6,2
757,7,2
758,7,2
759,8,2
760,6,2
761,7,2
762,7,2
763,8,2
764,7,2
765,8,2
766,8,2
767,9,2
768,2,2
769,3,2
770,3,2
771,4,2
772,3,2
773,4,2
774,4,2
775,5,2
